"pop","exposure","pop_exposure"
"Funhe2EKm000003",0.776722874101016,0.394849358530817,0.94880111753239
"Funhe2EKm000004",0.0694196719044672,0.00394013309730721,0.963386836414018
"Funhe2EKm000005",0.0759881528800728,0.0718617611088995,0.212032358555968
"Funhe2EKm000006",0.0872848135065386,0.955159281910548,0.16939907843821
"Funhe2EKm000007",0.180788109490814,0.0148203170048148,0.250740168360427
"Funhe2EKm000008",0.119950263693327,0.447430822480951,0.189686692109754
"Funhe2EKm000009",0.552872863512943,0.413422335945415,0.515727770250907
"Funhe2EKm000010",0.000848361412660369,4.93921210273516e-13,0.0114721326022257
"Funhe2EKm000011",0.0129406083816414,0.00017944924653815,0.531240599501002
"Funhe2EKm000012",0.203592390931913,0.229184147440655,0.228443284560275
"Funhe2EKm000013",0.00149175322810869,8.39284158279181e-05,0.406059404887855
"Funhe2EKm000014",0.225487201415983,4.94382349643148e-05,0.848480062858247
"Funhe2EKm000016",0.10485516717689,0.412380799657808,0.0136755710056309
"Funhe2EKm000017",0.862063131246389,0.182558251069898,0.371166825125786
"Funhe2EKm000019",0.425904772651451,1.16888249654874e-05,0.0347404826550845
"Funhe2EKm000020",0.450207032937273,0.0040293119108858,0.24847153541459
"Funhe2EKm000021",0.0398362976205725,0.141608569738909,0.0588558861583551
"Funhe2EKm000023",0.326401903766143,0.0103449274349856,0.837288705275546
"Funhe2EKm000024",0.257654988743221,0.322760112883505,0.313036432644628
"Funhe2EKm000025",1.52265731605731e-07,0.0330048372469798,0.187826947722131
"Funhe2EKm000028",0.302173732678367,0.126165937615157,0.121364332700267
"Funhe2EKm000029",0.405935037320163,0.124501144091981,0.415222779901873
"Funhe2EKm000030",0.000199312248670009,0.41111736350952,0.227803881684033
"Funhe2EKm000032",0.0896614826712666,0.18178770280925,0.730876448066226
"Funhe2EKm000033",0.292208325302806,0.469492920075152,0.246994138216222
"Funhe2EKm000034",1.04094884682771e-08,0.0978233517628928,0.146592321643972
"Funhe2EKm000035",0.00214634896219048,0.418866012193789,0.670135484131007
"Funhe2EKm000037",0.54388299237038,1.64500157065656e-06,0.157419715015701
"Funhe2EKm000039",0.480853934893658,0.30160404316703,0.22579015373087
"Funhe2EKm000040",0.0131074536380843,0.304315182239003,0.57731259490412
"Funhe2EKm000041",0.00475518736711197,0.827024966019376,0.665719214600813
"Funhe2EKm000042",0.13324589380653,0.0241839859656901,0.559320165697093
"Funhe2EKm000045",0.0355866588626653,0.158171804260078,0.41361961554141
"Funhe2EKm000046",0.202229843707712,0.298518610045235,0.616858484378401
"Funhe2EKm000047",0.00169523359550763,1.17814501190679e-06,0.0277157371971326
"Funhe2EKm000048",0.0179599622422354,0.145303471034373,0.429643863958529
"Funhe2EKm000050",0.0900975528977855,0.0676399223007157,0.360266206532919
"Funhe2EKm000051",0.000357176523562113,0.0217526193285034,0.684962864779781
"Funhe2EKm000052",0.00385674702270923,0.0779181967177498,0.53792239897835
"Funhe2EKm000053",0.00610572652315313,1.13117895319923e-05,0.497225616495962
"Funhe2EKm000054",0.182058730288593,0.144177079934866,0.542508059873691
"Funhe2EKm000055",0.0025665634736379,0.0232735533818488,0.275546002628589
"Funhe2EKm000057",0.571619001178721,0.336234535223406,0.0867668051738754
"Funhe2EKm000059",0.995979049045179,0.113119480415883,0.379225362825086
